figure,desc,
Figure 4.2.1-1: UE state machine and state transitions in NR,"-
 RRC_IDLE:
ETSI
3GPP TS 38.331 version 15.7.0 Release 15
 21
 ETSI TS 138 331 V15.7.0 (2019-10)
-
 A UE specific DRX may be configured by upper layers;
-
 UE controlled mobility based on network configuration;
-
 The UE:
-
 Monitors Short Messages transmitted with P-RNTI over DCI (see clause 6.5);
-
 Monitors a Paging channel for CN paging using 5G-S-TMSI;
-
 Performs neighbouring cell measurements and cell (re-)selection;
-
 Acquires system information and can send SI request (if configured).
-
 RRC_INACTIVE:
-
 A UE specific DRX may be configured by upper layers or by RRC layer;
-
 UE controlled mobility based on network configuration;
-
 The UE stores the UE Inactive AS context;
-
 A RAN-based notification area is configured by RRC layer;
The UE:
-
 Monitors Short Messages transmitted with P-RNTI over DCI (see clause 6.5);
-
 Monitors a Paging channel for CN paging using 5G-S-TMSI and RAN paging using fullI-RNTI;
-
 Performs neighbouring cell measurements and cell (re-)selection;
-
 Performs RAN-based notification area updates periodically and when moving outside the configured
RAN-based notification area;
-
 Acquires system information and can send SI request (if configured).
-
 RRC_CONNECTED:
-
 The UE stores the AS context;
-
 Transfer of unicast data to/from UE;
-
 At lower layers, the UE may be configured with a UE specific DRX;
-
 For UEs supporting CA, use of one or more SCells, aggregated with the SpCell, for increased bandwidth;
-
 For UEs supporting DC, use of one SCG, aggregated with the MCG, for increased bandwidth;
-
 Network controlled mobility within NR and to/from E-UTRA;
-
 The UE:
-
 Monitors Short Messages transmitted with P-RNTI over DCI (see clause 6.5), if configured;
-
 Monitors control channels associated with the shared data channel to determine if data is scheduled for it;
-
 Provides channel quality and feedback information;
-
 Performs neighbouring cell measurements and measurement reporting;
-
 Acquires system information.
Figure 4.2.1-1 illustrates an overview of UE RRC state machine and state transitions in NR. A UE has only one RRC
state in NR at one time.",1.png
"Figure 4.2.1-2: UE state machine and state transitions between NR/5GC, E-UTRA/EPC and E- UTRA/5GC","illustrates an overview of UE state machine and state transitions in NR as well as the mobility procedures
supported between NR/5GC E-UTRA/EPC and E-UTRA/5GC.-
 RRC_IDLE:
ETSI
3GPP TS 38.331 version 15.7.0 Release 15
 21
 ETSI TS 138 331 V15.7.0 (2019-10)
-
 A UE specific DRX may be configured by upper layers;
-
 UE controlled mobility based on network configuration;
-
 The UE:
-
 Monitors Short Messages transmitted with P-RNTI over DCI (see clause 6.5);
-
 Monitors a Paging channel for CN paging using 5G-S-TMSI;
-
 Performs neighbouring cell measurements and cell (re-)selection;
-
 Acquires system information and can send SI request (if configured).
-
 RRC_INACTIVE:
-
 A UE specific DRX may be configured by upper layers or by RRC layer;
-
 UE controlled mobility based on network configuration;
-
 The UE stores the UE Inactive AS context;
-
 A RAN-based notification area is configured by RRC layer;
The UE:
-
 Monitors Short Messages transmitted with P-RNTI over DCI (see clause 6.5);
-
 Monitors a Paging channel for CN paging using 5G-S-TMSI and RAN paging using fullI-RNTI;
-
 Performs neighbouring cell measurements and cell (re-)selection;
-
 Performs RAN-based notification area updates periodically and when moving outside the configured
RAN-based notification area;
-
 Acquires system information and can send SI request (if configured).
-
 RRC_CONNECTED:
-
 The UE stores the AS context;
-
 Transfer of unicast data to/from UE;
-
 At lower layers, the UE may be configured with a UE specific DRX;
-
 For UEs supporting CA, use of one or more SCells, aggregated with the SpCell, for increased bandwidth;
-
 For UEs supporting DC, use of one SCG, aggregated with the MCG, for increased bandwidth;
-
 Network controlled mobility within NR and to/from E-UTRA;
-
 The UE:
-
 Monitors Short Messages transmitted with P-RNTI over DCI (see clause 6.5), if configured;
-
 Monitors control channels associated with the shared data channel to determine if data is scheduled for it;
-
 Provides channel quality and feedback information;
-
 Performs neighbouring cell measurements and measurement reporting;
-
 Acquires system information.
Figure 4.2.1-1 illustrates an overview of UE RRC state machine and state transitions in NR. A UE has only one RRC
state in NR at one time.",2.png
Figure 5.2.2.1-1: System information acquisition,"The UE applies the SI acquisition procedure to acquire the AS- and NAS information. The procedure applies to UEs in
RRC_IDLE, in RRC_INACTIVE and in RRC_CONNECTED.
The UE in RRC_IDLE and RRC_INACTIVE shall ensure having a valid version of (at least) the MIB, SIB1 through
SIB4 and SIB5 (if the UE supports E-UTRA).",3.png
"Figure 5.3.2.1-1: Paging
","Paging
General
UE
 Network
Paging
Figure 5.3.2.1-1: Paging
The purpose of this procedure is:
-
 to transmit paging information to a UE in RRC_IDLE or RRC_INACTIVE.
5.3.2.2
 Initiation
The network initiates the paging procedure by transmitting the Paging message at the UE's paging occasion as specified
in TS 38.304 [20]. The network may address multiple UEs within a Paging message by including one PagingRecord for
each UE.
5.3.2.3
 Reception of the Paging message by the UE
Upon receiving the Paging message, the UE shall:
1> if in RRC_IDLE, for each of the PagingRecord, if any, included in the Paging message:
2> if the ue-Identity included in the PagingRecord matches the UE identity allocated by upper layers:
3> forward the ue-Identity and accessType (if present) to the upper layers;
1> if in RRC_INACTIVE, for each of the PagingRecord, if any, included in the Paging message:
2> if the ue-Identity included in the PagingRecord matches the UE's stored fullI-RNTI:
3> if the UE is configured by upper layers with Access Identity 1:
4> initiate the RRC connection resumption procedure according to 5.3.13 with resumeCause set to mps-
PriorityAccess;
3> else if the UE is configured by upper layers with Access Identity 2:
ETSI
3GPP TS 38.331 version 15.7.0 Release 15
 40
 ETSI TS 138 331 V15.7.0 (2019-10)
4> initiate the RRC connection resumption procedure according to 5.3.13 with resumeCause set to mcs-
PriorityAccess;
3> else if the UE is configured by upper layers with one or more Access Identities equal to 11-15:
4> initiate the RRC connection resumption procedure according to 5.3.13 with resumeCause set to
highPriorityAccess;
3> else:
4> initiate the RRC connection resumption procedure according to 5.3.13 with resumeCause set to mt-
Access;
2> else if the ue-Identity included in the PagingRecord matches the UE identity allocated by upper layers:
3> forward the ue-Identity to upper layers and accessType (if present) to the upper layers;
3> perform the actions upon going to RRC_IDLE as specified in 5.3.11 with release cause 'other'.",4.png
"Figure 5.3.3.1-1: RRC connection establishment, successful
","The purpose of this procedure is to establish an RRC connection. RRC connection establishment involves SRB1
establishment. The procedure is also used to transfer the initial NAS dedicated information/ message from the UE to the
network.
The network applies the procedure e.g.as follows:
-
 When establishing an RRC connection;
-
 When UE is resuming or re-establishing an RRC connection, and the network is not able to retrieve or verify the
UE context. In this case, UE receives RRCSetup and responds with RRCSetupComplete.",5.png
"Figure 5.3.3.1-2: RRC connection establishment, network reject
","The purpose of this procedure is to establish an RRC connection. RRC connection establishment involves SRB1
establishment. The procedure is also used to transfer the initial NAS dedicated information/ message from the UE to the
network.
The network applies the procedure e.g.as follows:
-
 When establishing an RRC connection;
-
 When UE is resuming or re-establishing an RRC connection, and the network is not able to retrieve or verify the
UE context. In this case, UE receives RRCSetup and responds with RRCSetupComplete.",6.png
"Figure 5.3.4.1-1: Security mode command, successful
","UE
 Network
SecurityModeCommand
SecurityModeComplete The purpose of this procedure is to activate AS security upon RRC connection establishmen",7.png
"Figure 5.3.4.1-2: Security mode command, failure
","UE
 Network
SecurityModeCommand
SecurityModeFailure The purpose of this procedure is to activate AS security upon RRC connection establishmen",8.png
"Figure 5.3.5.1-1: RRC reconfiguration, successful
","UE
 Network
RRCReconfiguration
RRCReconfigurationComplete The purpose of this procedure is to modify an RRC connection, e.g. to establish/modify/release RBs, to perform
reconfiguration with sync, to setup/modify/release measurements, to add/modify/release SCells and cell groups. As part
of the procedure, NAS dedicated information may be transferred from the Network to the UE.",9.png
"Figure 5.3.5.1-2: RRC reconfiguration, failure","UE
 Network
RRCReconfiguration
RRC connection re-establishment",10.png
